Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases
Logistic Regression,0.23000000000000001,51,543,182,0,0.30025773195876287,0.085858585858585856,1,0.15813953488372093,0.74896551724137927,594,0.76546391752577314,543,0
Logistic Regression,0.23999999999999999,51,527,198,0,0.32087628865979384,0.088235294117647065,1,0.16216216216216217,0.72689655172413792,578,0.74484536082474229,527,0
Logistic Regression,0.25,49,501,224,2,0.35180412371134023,0.089090909090909096,0.96078431372549022,0.16306156405990016,0.69103448275862067,550,0.70876288659793818,501,2
Logistic Regression,0.26000000000000001,49,484,241,2,0.37371134020618557,0.09193245778611632,0.96078431372549022,0.1678082191780822,0.66758620689655168,533,0.68685567010309279,484,2
Logistic Regression,0.27000000000000002,49,467,258,2,0.39561855670103091,0.094961240310077522,0.96078431372549022,0.1728395061728395,0.6441379310344828,516,0.66494845360824739,467,2
Logistic Regression,0.28000000000000003,47,445,280,4,0.42139175257731959,0.095528455284552852,0.92156862745098034,0.17311233885819521,0.61379310344827587,492,0.634020618556701,445,4
Logistic Regression,0.28999999999999998,46,414,311,5,0.46005154639175255,0.10000000000000001,0.90196078431372551,0.18003913894324852,0.57103448275862068,460,0.59278350515463918,414,5
Logistic Regression,0.29999999999999999,45,394,331,6,0.4845360824742268,0.10250569476082004,0.88235294117647056,0.18367346938775511,0.54344827586206901,439,0.56572164948453607,394,6
Logistic Regression,0.31,44,367,358,7,0.51804123711340211,0.1070559610705596,0.86274509803921573,0.19047619047619047,0.50620689655172413,411,0.52963917525773196,367,7
Logistic Regression,0.32000000000000001,41,347,378,10,0.53994845360824739,0.1056701030927835,0.80392156862745101,0.18678815489749431,0.4786206896551724,388,0.5,347,10
Logistic Regression,0.33000000000000002,40,328,397,11,0.56314432989690721,0.10869565217391304,0.78431372549019607,0.1909307875894988,0.45241379310344826,368,0.47422680412371132,328,11
Logistic Regression,0.34000000000000002,39,312,413,12,0.58247422680412375,0.1111111111111111,0.76470588235294112,0.19402985074626866,0.4303448275862069,351,0.45231958762886598,312,12
Logistic Regression,0.34999999999999998,38,296,429,13,0.60180412371134018,0.11377245508982035,0.74509803921568629,0.19740259740259741,0.40827586206896554,334,0.43041237113402064,296,13
Logistic Regression,0.35999999999999999,37,280,445,14,0.62113402061855671,0.1167192429022082,0.72549019607843135,0.20108695652173914,0.38620689655172413,317,0.40850515463917525,280,14
Logistic Regression,0.37,37,262,463,14,0.64432989690721654,0.12374581939799331,0.72549019607843135,0.21142857142857144,0.36137931034482756,299,0.38530927835051548,262,14
Logistic Regression,0.38,36,243,482,15,0.66752577319587625,0.12903225806451613,0.70588235294117652,0.21818181818181817,0.33517241379310347,279,0.3595360824742268,243,15
Logistic Regression,0.39000000000000001,36,232,493,15,0.68170103092783507,0.13432835820895522,0.70588235294117652,0.22570532915360503,0.32000000000000001,268,0.34536082474226804,232,15
Logistic Regression,0.40000000000000002,35,219,506,16,0.69716494845360821,0.13779527559055119,0.68627450980392157,0.22950819672131148,0.30206896551724138,254,0.32731958762886598,219,16
Logistic Regression,0.40999999999999998,33,208,517,18,0.70876288659793818,0.13692946058091288,0.6470588235294118,0.22602739726027396,0.28689655172413792,241,0.31056701030927836,208,18
Logistic Regression,0.41999999999999998,33,200,525,18,0.71907216494845361,0.14163090128755365,0.6470588235294118,0.23239436619718309,0.27586206896551724,233,0.30025773195876287,200,18
Logistic Regression,0.42999999999999999,33,186,539,18,0.73711340206185572,0.15068493150684931,0.6470588235294118,0.24444444444444444,0.25655172413793104,219,0.28221649484536082,186,18
Logistic Regression,0.44,33,182,543,18,0.74226804123711343,0.15348837209302327,0.6470588235294118,0.24812030075187969,0.25103448275862067,215,0.27706185567010311,182,18
Logistic Regression,0.45000000000000001,33,173,552,18,0.75386597938144329,0.16019417475728157,0.6470588235294118,0.25680933852140075,0.23862068965517241,206,0.2654639175257732,173,18
Logistic Regression,0.46000000000000002,33,165,560,18,0.76417525773195871,0.16666666666666666,0.6470588235294118,0.26506024096385544,0.22758620689655173,198,0.25515463917525771,165,18
Logistic Regression,0.46999999999999997,33,158,567,18,0.77319587628865982,0.17277486910994763,0.6470588235294118,0.27272727272727271,0.21793103448275863,191,0.24613402061855671,158,18
Logistic Regression,0.47999999999999998,32,152,573,19,0.77963917525773196,0.17391304347826086,0.62745098039215685,0.2723404255319149,0.20965517241379311,184,0.23711340206185566,152,19
Logistic Regression,0.48999999999999999,32,142,583,19,0.79252577319587625,0.18390804597701149,0.62745098039215685,0.28444444444444444,0.19586206896551725,174,0.22422680412371135,142,19
Logistic Regression,0.5,32,134,591,19,0.80283505154639179,0.19277108433734941,0.62745098039215685,0.29493087557603687,0.18482758620689654,166,0.21391752577319587,134,19
Logistic Regression,0.51000000000000001,32,127,598,19,0.81185567010309279,0.20125786163522014,0.62745098039215685,0.30476190476190479,0.17517241379310344,159,0.20489690721649484,127,19
Logistic Regression,0.52000000000000002,32,120,605,19,0.82087628865979378,0.21052631578947367,0.62745098039215685,0.31527093596059114,0.16551724137931034,152,0.19587628865979381,120,19
Logistic Regression,0.53000000000000003,32,115,610,19,0.82731958762886593,0.21768707482993196,0.62745098039215685,0.32323232323232326,0.15862068965517243,147,0.18943298969072164,115,19
Logistic Regression,0.54000000000000004,32,107,618,19,0.83762886597938147,0.23021582733812951,0.62745098039215685,0.33684210526315789,0.14758620689655172,139,0.17912371134020619,107,19
Logistic Regression,0.55000000000000004,32,102,623,19,0.84407216494845361,0.23880597014925373,0.62745098039215685,0.34594594594594597,0.1406896551724138,134,0.17268041237113402,102,19
Logistic Regression,0.56000000000000005,30,100,625,21,0.84407216494845361,0.23076923076923078,0.58823529411764708,0.33149171270718231,0.13793103448275862,130,0.16752577319587628,100,21
Logistic Regression,0.56999999999999995,30,96,629,21,0.84922680412371132,0.23809523809523808,0.58823529411764708,0.33898305084745761,0.13241379310344828,126,0.16237113402061856,96,21
Logistic Regression,0.57999999999999996,29,94,631,22,0.85051546391752575,0.23577235772357724,0.56862745098039214,0.33333333333333331,0.1296551724137931,123,0.15850515463917525,94,22
Logistic Regression,0.58999999999999997,29,92,633,22,0.85309278350515461,0.23966942148760331,0.56862745098039214,0.33720930232558138,0.12689655172413794,121,0.15592783505154639,92,22
Logistic Regression,0.59999999999999998,27,87,638,24,0.85695876288659789,0.23684210526315788,0.52941176470588236,0.32727272727272727,0.12,114,0.14690721649484537,87,24
Logistic Regression,0.60999999999999999,26,87,638,25,0.85567010309278346,0.23008849557522124,0.50980392156862742,0.31707317073170732,0.12,113,0.14561855670103094,87,25
Logistic Regression,0.62,26,83,642,25,0.86082474226804129,0.23853211009174313,0.50980392156862742,0.32500000000000001,0.11448275862068966,109,0.1404639175257732,83,25
Logistic Regression,0.63,24,79,646,27,0.86340206185567014,0.23300970873786409,0.47058823529411764,0.31168831168831168,0.10896551724137932,103,0.1327319587628866,79,27
Logistic Regression,0.64000000000000001,24,74,651,27,0.86984536082474229,0.24489795918367346,0.47058823529411764,0.32214765100671139,0.10206896551724139,98,0.12628865979381443,74,27
Logistic Regression,0.65000000000000002,22,70,655,29,0.87242268041237114,0.2391304347826087,0.43137254901960786,0.30769230769230771,0.096551724137931033,92,0.11855670103092783,70,29
Logistic Regression,0.66000000000000003,22,67,658,29,0.87628865979381443,0.24719101123595505,0.43137254901960786,0.31428571428571428,0.092413793103448272,89,0.11469072164948453,67,29
Logistic Regression,0.67000000000000004,22,66,659,29,0.87757731958762886,0.25,0.43137254901960786,0.31654676258992803,0.091034482758620694,88,0.1134020618556701,66,29
Logistic Regression,0.68000000000000005,21,63,662,30,0.88015463917525771,0.25,0.41176470588235292,0.31111111111111112,0.086896551724137933,84,0.10824742268041238,63,30
Logistic Regression,0.68999999999999995,20,63,662,31,0.87886597938144329,0.24096385542168675,0.39215686274509803,0.29850746268656714,0.086896551724137933,83,0.10695876288659793,63,31
Logistic Regression,0.69999999999999996,20,59,666,31,0.884020618556701,0.25316455696202533,0.39215686274509803,0.30769230769230771,0.08137931034482758,79,0.10180412371134021,59,31
Logistic Regression,0.70999999999999996,20,54,671,31,0.89046391752577314,0.27027027027027029,0.39215686274509803,0.32000000000000001,0.074482758620689649,74,0.095360824742268036,54,31
Logistic Regression,0.71999999999999997,19,53,672,32,0.89046391752577314,0.2638888888888889,0.37254901960784315,0.30894308943089432,0.073103448275862071,72,0.092783505154639179,53,32
Logistic Regression,0.72999999999999998,19,50,675,32,0.89432989690721654,0.27536231884057971,0.37254901960784315,0.31666666666666665,0.068965517241379309,69,0.08891752577319588,50,32
Logistic Regression,0.73999999999999999,18,47,678,33,0.89690721649484539,0.27692307692307694,0.35294117647058826,0.31034482758620691,0.064827586206896548,65,0.083762886597938138,47,33
Logistic Regression,0.75,17,47,678,34,0.89561855670103097,0.265625,0.33333333333333331,0.29565217391304349,0.064827586206896548,64,0.08247422680412371,47,34
Logistic Regression,0.76000000000000001,16,45,680,35,0.89690721649484539,0.26229508196721313,0.31372549019607843,0.2857142857142857,0.062068965517241378,61,0.078608247422680411,45,35
Logistic Regression,0.77000000000000002,16,40,685,35,0.90335051546391754,0.2857142857142857,0.31372549019607843,0.29906542056074764,0.055172413793103448,56,0.072164948453608241,40,35
Logistic Regression,0.78000000000000003,15,37,688,36,0.90592783505154639,0.28846153846153844,0.29411764705882354,0.29126213592233008,0.051034482758620693,52,0.067010309278350513,37,36
Logistic Regression,0.79000000000000004,15,35,690,36,0.90850515463917525,0.29999999999999999,0.29411764705882354,0.29702970297029702,0.048275862068965517,50,0.064432989690721643,35,36
Logistic Regression,0.80000000000000004,15,34,691,36,0.90979381443298968,0.30612244897959184,0.29411764705882354,0.29999999999999999,0.046896551724137932,49,0.063144329896907214,34,36
Logistic Regression,0.81000000000000005,15,32,693,36,0.91237113402061853,0.31914893617021278,0.29411764705882354,0.30612244897959184,0.044137931034482755,47,0.06056701030927835,32,36
Logistic Regression,0.81999999999999995,15,30,695,36,0.91494845360824739,0.33333333333333331,0.29411764705882354,0.3125,0.041379310344827586,45,0.057989690721649487,30,36
Logistic Regression,0.82999999999999996,15,29,696,36,0.91623711340206182,0.34090909090909088,0.29411764705882354,0.31578947368421051,0.040000000000000001,44,0.056701030927835051,29,36
Logistic Regression,0.83999999999999997,13,27,698,38,0.91623711340206182,0.32500000000000001,0.25490196078431371,0.2857142857142857,0.037241379310344824,40,0.051546391752577317,27,38
Logistic Regression,0.84999999999999998,13,24,701,38,0.92010309278350511,0.35135135135135137,0.25490196078431371,0.29545454545454547,0.03310344827586207,37,0.047680412371134018,24,38
Logistic Regression,0.85999999999999999,12,23,702,39,0.92010309278350511,0.34285714285714286,0.23529411764705882,0.27906976744186046,0.031724137931034485,35,0.045103092783505154,23,39
Logistic Regression,0.87,10,23,702,41,0.91752577319587625,0.30303030303030304,0.19607843137254902,0.23809523809523808,0.031724137931034485,33,0.04252577319587629,23,41
Logistic Regression,0.88,8,20,705,43,0.91881443298969068,0.2857142857142857,0.15686274509803921,0.20253164556962025,0.027586206896551724,28,0.03608247422680412,20,43
Logistic Regression,0.89000000000000001,7,18,707,44,0.92010309278350511,0.28000000000000003,0.13725490196078433,0.18421052631578946,0.024827586206896551,25,0.032216494845360821,18,44
Logistic Regression,0.90000000000000002,5,15,710,46,0.92139175257731953,0.25,0.098039215686274508,0.14084507042253522,0.020689655172413793,20,0.025773195876288658,15,46
Logistic Regression,0.91000000000000003,4,15,710,47,0.92010309278350511,0.21052631578947367,0.078431372549019607,0.11428571428571428,0.020689655172413793,19,0.024484536082474227,15,47
Logistic Regression,0.92000000000000004,3,13,712,48,0.92139175257731953,0.1875,0.058823529411764705,0.089552238805970144,0.01793103448275862,16,0.020618556701030927,13,48
Logistic Regression,0.93000000000000005,3,13,712,48,0.92139175257731953,0.1875,0.058823529411764705,0.089552238805970144,0.01793103448275862,16,0.020618556701030927,13,48
Logistic Regression,0.93999999999999995,3,13,712,48,0.92139175257731953,0.1875,0.058823529411764705,0.089552238805970144,0.01793103448275862,16,0.020618556701030927,13,48
Logistic Regression,0.94999999999999996,2,9,716,49,0.92525773195876293,0.18181818181818182,0.039215686274509803,0.064516129032258063,0.012413793103448275,11,0.014175257731958763,9,49
Logistic Regression,0.95999999999999996,1,6,719,50,0.92783505154639179,0.14285714285714285,0.019607843137254902,0.034482758620689655,0.0082758620689655175,7,0.0090206185567010301,6,50
Logistic Regression,0.96999999999999997,1,6,719,50,0.92783505154639179,0.14285714285714285,0.019607843137254902,0.034482758620689655,0.0082758620689655175,7,0.0090206185567010301,6,50
Logistic Regression,0.97999999999999998,1,3,722,50,0.93170103092783507,0.25,0.019607843137254902,0.036363636363636362,0.0041379310344827587,4,0.0051546391752577319,3,50
Logistic Regression,0.98999999999999999,0,1,724,51,0.9329896907216495,0,0,0,0.0013793103448275861,1,0.001288659793814433,1,51
Random Forest,0.01,47,566,159,4,0.2654639175257732,0.076672104404567704,0.92156862745098034,0.14156626506024098,0.78068965517241384,613,0.78994845360824739,566,4
Random Forest,0.02,45,493,232,6,0.35695876288659795,0.083643122676579931,0.88235294117647056,0.15280135823429541,0.68000000000000005,538,0.69329896907216493,493,6
Random Forest,0.029999999999999999,45,457,268,6,0.40335051546391754,0.089641434262948211,0.88235294117647056,0.16274864376130199,0.63034482758620691,502,0.64690721649484539,457,6
Random Forest,0.040000000000000001,45,402,323,6,0.47422680412371132,0.10067114093959731,0.88235294117647056,0.18072289156626506,0.55448275862068963,447,0.5760309278350515,402,6
Random Forest,0.050000000000000003,44,369,356,7,0.51546391752577314,0.10653753026634383,0.86274509803921573,0.18965517241379309,0.50896551724137928,413,0.53221649484536082,369,7
Random Forest,0.059999999999999998,43,335,390,8,0.5579896907216495,0.11375661375661375,0.84313725490196079,0.20046620046620048,0.46206896551724136,378,0.48711340206185566,335,8
Random Forest,0.070000000000000007,43,311,414,8,0.58891752577319589,0.12146892655367232,0.84313725490196079,0.21234567901234569,0.42896551724137932,354,0.45618556701030927,311,8
Random Forest,0.080000000000000002,42,295,430,9,0.60824742268041232,0.12462908011869436,0.82352941176470584,0.21649484536082475,0.40689655172413791,337,0.43427835051546393,295,9
Random Forest,0.089999999999999997,41,276,449,10,0.63144329896907214,0.12933753943217666,0.80392156862745101,0.22282608695652173,0.38068965517241377,317,0.40850515463917525,276,10
Random Forest,0.10000000000000001,40,258,467,11,0.65335051546391754,0.13422818791946309,0.78431372549019607,0.22922636103151864,0.35586206896551725,298,0.38402061855670105,258,11
Random Forest,0.11,39,241,484,12,0.6739690721649485,0.13928571428571429,0.76470588235294112,0.23564954682779457,0.33241379310344826,280,0.36082474226804123,241,12
Random Forest,0.12,37,223,502,14,0.69458762886597936,0.1423076923076923,0.72549019607843135,0.23794212218649519,0.30758620689655175,260,0.33505154639175255,223,14
Random Forest,0.13,36,209,516,15,0.71134020618556704,0.14693877551020409,0.70588235294117652,0.24324324324324326,0.28827586206896549,245,0.31572164948453607,209,15
Random Forest,0.14000000000000001,36,199,526,15,0.72422680412371132,0.15319148936170213,0.70588235294117652,0.25174825174825177,0.27448275862068966,235,0.30283505154639173,199,15
Random Forest,0.14999999999999999,35,185,540,16,0.740979381443299,0.15909090909090909,0.68627450980392157,0.25830258302583026,0.25517241379310346,220,0.28350515463917525,185,16
Random Forest,0.16,32,174,551,19,0.75128865979381443,0.1553398058252427,0.62745098039215685,0.24902723735408561,0.23999999999999999,206,0.2654639175257732,174,19
Random Forest,0.17000000000000001,30,153,572,21,0.77577319587628868,0.16393442622950818,0.58823529411764708,0.25641025641025639,0.21103448275862069,183,0.23582474226804123,153,21
Random Forest,0.17999999999999999,28,140,585,23,0.78994845360824739,0.16666666666666666,0.5490196078431373,0.25570776255707761,0.19310344827586207,168,0.21649484536082475,140,23
Random Forest,0.19,28,130,595,23,0.80283505154639179,0.17721518987341772,0.5490196078431373,0.26794258373205743,0.1793103448275862,158,0.20360824742268041,130,23
Random Forest,0.20000000000000001,28,119,606,23,0.8170103092783505,0.19047619047619047,0.5490196078431373,0.28282828282828282,0.16413793103448276,147,0.18943298969072164,119,23
Random Forest,0.20999999999999999,27,112,613,24,0.82474226804123707,0.19424460431654678,0.52941176470588236,0.28421052631578947,0.15448275862068966,139,0.17912371134020619,112,24
Random Forest,0.22,26,108,617,25,0.82860824742268047,0.19402985074626866,0.50980392156862742,0.2810810810810811,0.1489655172413793,134,0.17268041237113402,108,25
Random Forest,0.23000000000000001,25,102,623,26,0.83505154639175261,0.19685039370078741,0.49019607843137253,0.2808988764044944,0.1406896551724138,127,0.16365979381443299,102,26
Random Forest,0.23999999999999999,25,93,632,26,0.84664948453608246,0.21186440677966101,0.49019607843137253,0.29585798816568049,0.12827586206896552,118,0.15206185567010308,93,26
Random Forest,0.25,24,86,639,27,0.85438144329896903,0.21818181818181817,0.47058823529411764,0.29813664596273293,0.11862068965517242,110,0.14175257731958762,86,27
Random Forest,0.26000000000000001,23,79,646,28,0.86211340206185572,0.22549019607843138,0.45098039215686275,0.30065359477124182,0.10896551724137932,102,0.13144329896907217,79,28
Random Forest,0.27000000000000002,21,74,651,30,0.865979381443299,0.22105263157894736,0.41176470588235292,0.28767123287671231,0.10206896551724139,95,0.12242268041237113,74,30
Random Forest,0.28000000000000003,20,71,654,31,0.86855670103092786,0.21978021978021978,0.39215686274509803,0.28169014084507044,0.097931034482758625,91,0.1172680412371134,71,31
Random Forest,0.28999999999999998,19,66,659,32,0.87371134020618557,0.22352941176470589,0.37254901960784315,0.27941176470588236,0.091034482758620694,85,0.1095360824742268,66,32
Random Forest,0.29999999999999999,18,62,663,33,0.87757731958762886,0.22500000000000001,0.35294117647058826,0.27480916030534353,0.085517241379310341,80,0.10309278350515463,62,33
Random Forest,0.31,17,57,668,34,0.88273195876288657,0.22972972972972974,0.33333333333333331,0.27200000000000002,0.07862068965517241,74,0.095360824742268036,57,34
Random Forest,0.32000000000000001,16,56,669,35,0.88273195876288657,0.22222222222222221,0.31372549019607843,0.26016260162601629,0.077241379310344832,72,0.092783505154639179,56,35
Random Forest,0.33000000000000002,16,53,672,35,0.88659793814432986,0.2318840579710145,0.31372549019607843,0.26666666666666666,0.073103448275862071,69,0.08891752577319588,53,35
Random Forest,0.34000000000000002,16,52,673,35,0.88788659793814428,0.23529411764705882,0.31372549019607843,0.26890756302521007,0.071724137931034479,68,0.087628865979381437,52,35
Random Forest,0.34999999999999998,14,47,678,37,0.89175257731958768,0.22950819672131148,0.27450980392156865,0.25,0.064827586206896548,61,0.078608247422680411,47,37
Random Forest,0.35999999999999999,13,40,685,38,0.89948453608247425,0.24528301886792453,0.25490196078431371,0.25,0.055172413793103448,53,0.068298969072164942,40,38
Random Forest,0.37,13,37,688,38,0.90335051546391754,0.26000000000000001,0.25490196078431371,0.25742574257425743,0.051034482758620693,50,0.064432989690721643,37,38
Random Forest,0.38,13,34,691,38,0.90721649484536082,0.27659574468085107,0.25490196078431371,0.26530612244897961,0.046896551724137932,47,0.06056701030927835,34,38
Random Forest,0.39000000000000001,12,29,696,39,0.91237113402061853,0.29268292682926828,0.23529411764705882,0.2608695652173913,0.040000000000000001,41,0.052835051546391752,29,39
Random Forest,0.40000000000000002,11,29,696,40,0.91108247422680411,0.27500000000000002,0.21568627450980393,0.24175824175824176,0.040000000000000001,40,0.051546391752577317,29,40
Random Forest,0.40999999999999998,11,29,696,40,0.91108247422680411,0.27500000000000002,0.21568627450980393,0.24175824175824176,0.040000000000000001,40,0.051546391752577317,29,40
Random Forest,0.41999999999999998,11,28,697,40,0.91237113402061853,0.28205128205128205,0.21568627450980393,0.24444444444444444,0.038620689655172416,39,0.050257731958762888,28,40
Random Forest,0.42999999999999999,11,28,697,40,0.91237113402061853,0.28205128205128205,0.21568627450980393,0.24444444444444444,0.038620689655172416,39,0.050257731958762888,28,40
Random Forest,0.44,11,25,700,40,0.91623711340206182,0.30555555555555558,0.21568627450980393,0.25287356321839083,0.034482758620689655,36,0.046391752577319589,25,40
Random Forest,0.45000000000000001,10,25,700,41,0.91494845360824739,0.2857142857142857,0.19607843137254902,0.23255813953488372,0.034482758620689655,35,0.045103092783505154,25,41
Random Forest,0.46000000000000002,9,25,700,42,0.91365979381443296,0.26470588235294118,0.17647058823529413,0.21176470588235294,0.034482758620689655,34,0.043814432989690719,25,42
Random Forest,0.46999999999999997,8,24,701,43,0.91365979381443296,0.25,0.15686274509803921,0.19277108433734941,0.03310344827586207,32,0.041237113402061855,24,43
Random Forest,0.47999999999999998,8,21,704,43,0.91752577319587625,0.27586206896551724,0.15686274509803921,0.20000000000000001,0.028965517241379312,29,0.037371134020618556,21,43
Random Forest,0.48999999999999999,8,20,705,43,0.91881443298969068,0.2857142857142857,0.15686274509803921,0.20253164556962025,0.027586206896551724,28,0.03608247422680412,20,43
Random Forest,0.5,8,18,707,43,0.92139175257731953,0.30769230769230771,0.15686274509803921,0.20779220779220781,0.024827586206896551,26,0.033505154639175257,18,43
Random Forest,0.51000000000000001,8,18,707,43,0.92139175257731953,0.30769230769230771,0.15686274509803921,0.20779220779220781,0.024827586206896551,26,0.033505154639175257,18,43
Random Forest,0.52000000000000002,8,17,708,43,0.92268041237113407,0.32000000000000001,0.15686274509803921,0.21052631578947367,0.023448275862068966,25,0.032216494845360821,17,43
Random Forest,0.53000000000000003,8,15,710,43,0.92525773195876293,0.34782608695652173,0.15686274509803921,0.21621621621621623,0.020689655172413793,23,0.029639175257731958,15,43
Random Forest,0.54000000000000004,8,15,710,43,0.92525773195876293,0.34782608695652173,0.15686274509803921,0.21621621621621623,0.020689655172413793,23,0.029639175257731958,15,43
Random Forest,0.55000000000000004,8,14,711,43,0.92654639175257736,0.36363636363636365,0.15686274509803921,0.21917808219178081,0.019310344827586208,22,0.028350515463917526,14,43
Random Forest,0.56000000000000005,7,14,711,44,0.92525773195876293,0.33333333333333331,0.13725490196078433,0.19444444444444445,0.019310344827586208,21,0.027061855670103094,14,44
Random Forest,0.56999999999999995,7,13,712,44,0.92654639175257736,0.34999999999999998,0.13725490196078433,0.19718309859154928,0.01793103448275862,20,0.025773195876288658,13,44
Random Forest,0.57999999999999996,7,12,713,44,0.92783505154639179,0.36842105263157893,0.13725490196078433,0.20000000000000001,0.016551724137931035,19,0.024484536082474227,12,44
Random Forest,0.58999999999999997,7,11,714,44,0.92912371134020622,0.3888888888888889,0.13725490196078433,0.20289855072463769,0.015172413793103448,18,0.023195876288659795,11,44
Random Forest,0.59999999999999998,6,10,715,45,0.92912371134020622,0.375,0.11764705882352941,0.17910447761194029,0.013793103448275862,16,0.020618556701030927,10,45
Random Forest,0.60999999999999999,6,10,715,45,0.92912371134020622,0.375,0.11764705882352941,0.17910447761194029,0.013793103448275862,16,0.020618556701030927,10,45
Random Forest,0.62,6,9,716,45,0.93041237113402064,0.40000000000000002,0.11764705882352941,0.18181818181818182,0.012413793103448275,15,0.019329896907216496,9,45
Random Forest,0.63,6,8,717,45,0.93170103092783507,0.42857142857142855,0.11764705882352941,0.18461538461538463,0.011034482758620689,14,0.01804123711340206,8,45
Random Forest,0.64000000000000001,5,8,717,46,0.93041237113402064,0.38461538461538464,0.098039215686274508,0.15625,0.011034482758620689,13,0.016752577319587628,8,46
Random Forest,0.65000000000000002,5,7,718,46,0.93170103092783507,0.41666666666666669,0.098039215686274508,0.15873015873015872,0.009655172413793104,12,0.015463917525773196,7,46
Random Forest,0.66000000000000003,5,6,719,46,0.9329896907216495,0.45454545454545453,0.098039215686274508,0.16129032258064516,0.0082758620689655175,11,0.014175257731958763,6,46
Random Forest,0.67000000000000004,5,5,720,46,0.93427835051546393,0.5,0.098039215686274508,0.16393442622950818,0.0068965517241379309,10,0.012886597938144329,5,46
Random Forest,0.68000000000000005,5,5,720,46,0.93427835051546393,0.5,0.098039215686274508,0.16393442622950818,0.0068965517241379309,10,0.012886597938144329,5,46
Random Forest,0.68999999999999995,5,5,720,46,0.93427835051546393,0.5,0.098039215686274508,0.16393442622950818,0.0068965517241379309,10,0.012886597938144329,5,46
Random Forest,0.69999999999999996,4,4,721,47,0.93427835051546393,0.5,0.078431372549019607,0.13559322033898305,0.0055172413793103444,8,0.010309278350515464,4,47
Random Forest,0.70999999999999996,4,2,723,47,0.93685567010309279,0.66666666666666663,0.078431372549019607,0.14035087719298245,0.0027586206896551722,6,0.0077319587628865982,2,47
