Case ID,Case or evidence item,Country or region,Year,Accident or case date,Hazard or function type,Primary source type,Primary source URL,Archive or access information,Evidence level,P: Perception input,W: Warning interpretation,D: Task dispatch,A: Disposal action,V: Verification or closure,F: Feedback update,Response-chain score,P evidence,W evidence,D evidence,A evidence,V evidence,F evidence,Confidence,Limits on evidence use
S1-15,Westray Mine disaster,Canada,1992,1992-05-09,Methane / coal-dust explosion,Official public inquiry report,https://novascotia.ca/lae/pubs/westray/,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,A-level inquiry case with strong feedback-learning value.
S1-16,Moura No. 2 Mine disaster,Australia,1994,1994-08-07,Methane explosion,Queensland official inquiry report,https://www.publications.qld.gov.au/dataset/moura-no-2-mine-accident-report,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,A-level official inquiry case.
S1-17,Scotia Mine disaster,United States,1976,1976-03-09 / 1976-03-11,Methane explosions,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-18,Finley Coal No. 15 and 16 / Hyden disaster,United States,1970,1970-12-30,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-19,Blacksville No. 1 Mine fire,United States,1972,1972-07-22,Underground mine fire,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://minesafety.wv.gov/historical-statistical-data/wv-mine-disasters-1884-to-present,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-20,Buffalo Mining Co. / Buffalo Creek impoundment failure,United States,1972,1972-02-26,Coal refuse dam failure / flood,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://minesafety.wv.gov/historical-statistical-data/wv-mine-disasters-1884-to-present,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Included as mining-related water/impoundment failure case; keep P/W conservative.
S1-21,Mid-Continent Resources Dutch Creek No. 1 disaster,United States,1981,1981-04-15,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-22,Wilberg Mine fire,United States,1984,1984-12-19,Underground mine fire,NIOSH Historical Mine Disasters / MSHA official records,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://www.msha.gov/data-and-reports/fatality-reports/search,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-23,McClure No. 1 Mine explosion,United States,1983,1983-06-21,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-24,William Station No. 9 Mine explosion,United States,1989,1989-09-13,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-25,"No. 3 Mine, Norton, Virginia disaster",United States,1992,1992-11-21,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Historical official case retained with conservative P/W coding.
S1-26,Rolling Thunder Mine inundation fatality,United States,2025,2025-11-08,Inundation / underground coal,MSHA final fatality report,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-11-08-2025-2025-25-109.pdf,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,Added A-level recent official MSHA case.
S1-27,Mountain View Mine powered-haulage fatality,United States,2025,2025-11-06,Powered haulage / underground coal,MSHA final fatality report,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-11-06-2025-2025-25-108.pdf,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,Added A-level recent official MSHA case.
S1-28,Lower War Eagle Mine powered-haulage fatality,United States,2025,2025-12-18,Powered haulage / underground coal,MSHA final fatality report,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-12-18-2025-2025-25-111.pdf,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,Added A-level recent official MSHA case.
S1-29,Marfork Processing hoisting fatality,United States,2025,2025-08-26,Hoisting / facility operation,MSHA final fatality report,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-08-26-2025-2025-25-107.pdf,2026-06-20,A,1.0,0.5,1,1,1.0,1.0,0.917,"Official investigation/source identifies the hazard, site condition, monitoring record, inspection record, or operating-condition input supporting perception.","Pre-event warning evidence is coded conservatively; W is 1 only where alarm, warning, over-limit, risk level, or symptom judgement is explicit.","Emergency command, mine re-entry control, rescue deployment, shutdown, regulatory decision, or investigation decision is documented.","Rescue, recovery, evacuation, firefighting, ventilation, dewatering, drilling, support, or other disposal actions are documented.","Official final report, inquiry conclusion, regulator finding, or verified accident record supports causal verification.","Recommendations, enforcement, penalties, safety-rule changes, training/grant response, or documented accountability support feedback.",High,Added A-level recent official MSHA case.
S1-30,Adkins Coal Mine No. 11 disaster,United States,1981,1981-12-08,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Added official historical coal-mine case; P/W coded conservatively.
S1-31,Grundy Mining Co. Mine No. 21 disaster,United States,1981,1981-12-09,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Added official historical coal-mine case; P/W coded conservatively.
S1-32,RHF No. 1 Mine disaster,United States,1982,1982-01-21,Explosion,NIOSH Historical Mine Disasters / official disaster record,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,2026-06-20,A,0.5,0.5,1,1,1.0,1.0,0.833,"Official historical disaster data verifies mine, date, hazard type, mine type, and basic accident context.",No stand-alone alarm score is inferred; W is coded as partial where the source set supports pre-event hazardous-condition or inspection relevance.,"Rescue, recovery, regulator response, or investigation response is part of the official disaster record used for the case.","Emergency rescue, recovery, firefighting, sealing, evacuation, or similar response action is treated as the action component.",NIOSH/MSHA/state disaster records verify the case and accident category; final investigation history supports verification.,"The case is used only where regulatory learning, recommendations, enforcement, or mine-safety reform context is available.",Medium,Added official historical coal-mine case; P/W coded conservatively.
