candidate_id,final_case_id,case_title,hazard_type,country_or_region,event_year,source_title,source_url,source_type,source_quality_level,database_or_website,search_query,search_date,duplicate_status,eligibility_status,exclusion_reason,coding_status,notes
S1-13,S1-13,Quecreek No. 1 Mine inundation and rescue,Water inundation / trapped miners,United States,2002,NR,https://web.archive.org/web/20040930001550/http://www.dep.state.pa.us/dep/deputate/minres/dms/website/accidents/quecreek/InvestigationReportFinal/InvestigationReportFinal.pdf,Pennsylvania DEP investigation report,A,NR,NR,NR,NR,included,not applicable,coded once,Strong positive closed-loop rescue case.
S1-14,S1-14,Consol No. 9 / Farmington Mine disaster,Explosion / underground fire,United States,1968,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://minesafety.wv.gov/historical-statistical-data/wv-mine-disasters-1884-to-present,NIOSH historical disaster table and state mine-disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case; P/W coded conservatively.
S1-15,S1-15,Westray Mine disaster,Methane / coal-dust explosion,Canada,1992,NR,https://novascotia.ca/lae/pubs/westray/,Official public inquiry report,A,NR,NR,NR,NR,included,not applicable,coded once,A-level inquiry case with strong feedback-learning value.
S1-16,S1-16,Moura No. 2 Mine disaster,Methane explosion,Australia,1994,NR,https://www.publications.qld.gov.au/dataset/moura-no-2-mine-accident-report,Queensland official inquiry report,A,NR,NR,NR,NR,included,not applicable,coded once,A-level official inquiry case.
S1-17,S1-17,Scotia Mine disaster,Methane explosions,United States,1976,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-18,S1-18,Finley Coal No. 15 and 16 / Hyden disaster,Explosion,United States,1970,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-19,S1-19,Blacksville No. 1 Mine fire,Underground mine fire,United States,1972,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://minesafety.wv.gov/historical-statistical-data/wv-mine-disasters-1884-to-present,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-20,S1-20,Buffalo Mining Co. / Buffalo Creek impoundment failure,Coal refuse dam failure / flood,United States,1972,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://minesafety.wv.gov/historical-statistical-data/wv-mine-disasters-1884-to-present,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Included as mining-related water/impoundment failure case; keep P/W conservative.
S1-21,S1-21,Mid-Continent Resources Dutch Creek No. 1 disaster,Explosion,United States,1981,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-22,S1-22,Wilberg Mine fire,Underground mine fire,United States,1984,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table; https://www.msha.gov/data-and-reports/fatality-reports/search,NIOSH Historical Mine Disasters / MSHA official records,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-23,S1-23,McClure No. 1 Mine explosion,Explosion,United States,1983,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-24,S1-24,William Station No. 9 Mine explosion,Explosion,United States,1989,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-25,S1-25,"No. 3 Mine, Norton, Virginia disaster",Explosion,United States,1992,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Historical official case retained with conservative P/W coding.
S1-26,S1-26,Rolling Thunder Mine inundation fatality,Inundation / underground coal,United States,2025,NR,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-11-08-2025-2025-25-109.pdf,MSHA final fatality report,A,NR,NR,NR,NR,included,not applicable,coded once,Added A-level recent official MSHA case.
S1-27,S1-27,Mountain View Mine powered-haulage fatality,Powered haulage / underground coal,United States,2025,NR,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-11-06-2025-2025-25-108.pdf,MSHA final fatality report,A,NR,NR,NR,NR,included,not applicable,coded once,Added A-level recent official MSHA case.
S1-28,S1-28,Lower War Eagle Mine powered-haulage fatality,Powered haulage / underground coal,United States,2025,NR,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-12-18-2025-2025-25-111.pdf,MSHA final fatality report,A,NR,NR,NR,NR,included,not applicable,coded once,Added A-level recent official MSHA case.
S1-29,S1-29,Marfork Processing hoisting fatality,Hoisting / facility operation,United States,2025,NR,https://www.msha.gov/sites/default/files/Data_Reports/Fatality_Reports/2025/Fatality-08-26-2025-2025-25-107.pdf,MSHA final fatality report,A,NR,NR,NR,NR,included,not applicable,coded once,Added A-level recent official MSHA case.
S1-30,S1-30,Adkins Coal Mine No. 11 disaster,Explosion,United States,1981,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Added official historical coal-mine case; P/W coded conservatively.
S1-31,S1-31,Grundy Mining Co. Mine No. 21 disaster,Explosion,United States,1981,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Added official historical coal-mine case; P/W coded conservatively.
S1-32,S1-32,RHF No. 1 Mine disaster,Explosion,United States,1982,NR,https://wwwn.cdc.gov/NIOSH-Mining/MMWC/MineDisasters/Table,NIOSH Historical Mine Disasters / official disaster record,A,NR,NR,NR,NR,included,not applicable,coded once,Added official historical coal-mine case; P/W coded conservatively.
EX-01,NR,C02 Pingdingshan Tianan No. 12 mine accident,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,"Recent case is useful, but source support was weaker than the official-source cases added in .",not in final coding table,Not carried into case set
EX-02,NR,C06 Jilin Babao Coal Mine explosions,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,Candidate case was not used in the case set because stronger official-source cases were available.,not in final coding table,Not carried into case set
EX-03,NR,C09 Xinxing coal mine explosion,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,Candidate case relied on public summary/encyclopedia-style source rather than a submission-grade primary source.,not in final coding table,Excluded from final table
EX-04,NR,C13 Tabas coal mine explosion,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,Candidate case lacked submission-grade source support for the full response-chain coding.,not in final coding table,Excluded from final table
EX-05,NR,C14 Kostenko mine disaster,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,"International case can be discussed in text, but Table S1 prioritizes official-source coding rows.",not in final coding table,Not carried into case set
EX-06,NR,C15 Listvyazhnaya mine disaster,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,"International case can be discussed in text, but Table S1 prioritizes official-source coding rows.",not in final coding table,Not carried into case set
EX-07,NR,C16 Raspadskaya mine explosion,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,Candidate case relied on public summary-level evidence for P-W-D-A-V-F coding.,not in final coding table,Excluded from final table
EX-08,NR,C30 Gresford disaster,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,Historical case retained out of final table because final coding evidence was weaker than official MSHA/NIOSH alternatives.,not in final coding table,Excluded from final table
EX-09,NR,C32 Coalbrook mining disaster,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,excluded/not carried into final set,Historical case retained out of final table because final coding evidence was weaker than official MSHA/NIOSH alternatives.,not in final coding table,Excluded from final table
